"","date","tcmnom_y10","tcmnom_y5","tcmnom_y3","tcmnom_y1","pi.realized","r_y10","r_y5","r_y3","r_y1","r_y10.ar1.roll","r_y10.ses.roll","r_y5.ar1.roll","r_y5.ses.roll","r_y3.ar1.roll","r_y3.ses.roll","r_y1.ar1.roll","r_y1.ses.roll"
"351",1954-03-31,2.37,1.93,1.59,1.13,-0.52,2.89,2.45,2.11,1.65,-1.04,-0.21,-1.48,-0.65,-1.82,-0.99,-2.28,-1.45
"363",1955-03-31,2.68,2.48,2.26,1.59,0.37,2.31,2.11,1.89,1.22,-0.59,0.76,-0.79,0.56,-1.01,0.34,-1.68,-0.33
"375",1956-03-31,2.96,2.93,2.89,2.61,3.54,-0.58,-0.61,-0.65,-0.93,0.42,1.36,0.39,1.33,0.35,1.29,0.07,1.01
"387",1957-03-31,3.41,3.46,3.47,3.42,3.56,-0.15,-0.1,-0.0899999999999999,-0.14,1.43,1.41,1.48,1.46,1.49,1.47,1.44,1.42
"399",1958-03-31,2.98,2.64,2.4,1.84,0.35,2.63,2.29,2.05,1.49,0.81,0.67,0.47,0.33,0.23,0.09,-0.33,-0.47
"411",1959-03-31,3.99,3.99,3.97,3.61,1.51,2.48,2.48,2.46,2.1,1.31,2.07,1.31,2.07,1.29,2.05,0.93,1.69
"423",1960-03-31,4.25,4.31,4.29,4.02,1.45,2.8,2.86,2.84,2.57,1.93,2.41,1.99,2.47,1.97,2.45,1.7,2.18
"435",1961-03-31,3.74,3.6,3.35,2.88,1.1,2.64,2.5,2.25,1.78,1.47,1.98,1.33,1.84,1.08,1.59,0.61,1.12
"447",1962-03-31,3.93,3.68,3.45,3.06,1.12,2.81,2.56,2.33,1.94,1.68,2.3,1.43,2.05,1.2,1.82,0.81,1.43
"459",1963-03-31,3.93,3.68,3.41,3.03,1.4,2.53,2.28,2.01,1.63,1.76,2.41,1.51,2.16,1.24,1.89,0.86,1.51
"471",1964-03-31,4.22,4.14,4.12,3.91,1.19,3.03,2.95,2.93,2.72,2.15,2.72,2.07,2.64,2.05,2.62,1.84,2.41
"483",1965-03-31,4.21,4.15,4.13,4.06,2.74,1.47,1.41,1.39,1.32,2.15,2.77,2.09,2.71,2.07,2.69,2,2.62
"495",1966-03-31,4.87,4.92,4.97,4.97,2.52,2.35,2.4,2.45,2.45,3.05,3.17,3.1,3.22,3.15,3.27,3.15,3.27
"507",1967-03-31,4.54,4.54,4.47,4.35,3.86,0.68,0.68,0.61,0.49,2.64,2.68,2.64,2.68,2.57,2.61,2.45,2.49
"519",1968-03-31,5.74,5.76,5.8,5.58,5.11,0.63,0.649999999999999,0.69,0.47,3.95,3.48,3.97,3.5,4.01,3.54,3.79,3.32
"531",1969-03-31,6.3,6.41,6.38,6.34,5.92,0.38,0.49,0.46,0.42,4.32,3.47,4.43,3.58,4.4,3.55,4.36,3.51
"543",1970-03-31,7.07,7.21,7.15,6.97,4.34,2.73,2.87,2.81,2.63,4.53,3.62,4.67,3.76,4.61,3.7,4.43,3.52
"555",1971-03-31,5.7,5,4.5,3.69,3.44,2.26,1.56,1.06,0.25,3.02,2.07,2.32,1.37,1.82,0.87,1.01,0.06
"567",1972-03-31,6.07,5.87,5.56,4.67,4.72,1.35,1.15,0.84,-0.0499999999999998,3.43,2.48,3.23,2.28,2.92,1.97,2.03,1.08
