"","date","tcmnom_y10","tcmnom_y5","tcmnom_y3","tcmnom_y1","pi.realized","r_y10","r_y5","r_y3","r_y1","r_y10.ar1.roll","r_y10.ses.roll","r_y5.ar1.roll","r_y5.ses.roll","r_y3.ar1.roll","r_y3.ses.roll","r_y1.ar1.roll","r_y1.ses.roll"
"340",1953-04-30,2.83,2.62,2.51,2.36,0.87,1.96,1.75,1.64,1.49,-1.16,-1.37,-1.37,-1.58,-1.48,-1.69,-1.63,-1.84
"352",1954-04-30,2.29,1.87,1.54,0.96,0.63,1.66,1.24,0.91,0.33,-1.17,-0.21,-1.59,-0.63,-1.92,-0.96,-2.5,-1.54
"364",1955-04-30,2.75,2.55,2.37,1.75,-0.26,3.01,2.81,2.63,2.01,-0.36,0.84,-0.56,0.64,-0.74,0.46,-1.36,-0.16
"376",1956-04-30,3.18,3.2,3.19,2.92,0.52,2.66,2.68,2.67,2.4,0.66,1.56,0.68,1.58,0.67,1.57,0.4,1.3
"388",1957-04-30,3.48,3.53,3.53,3.49,3.65,-0.17,-0.12,-0.12,-0.16,1.55,1.44,1.6,1.49,1.6,1.49,1.56,1.45
"400",1958-04-30,2.88,2.46,2.15,1.45,3.55,-0.67,-1.09,-1.4,-2.1,0.73,0.54,0.31,0.12,0,-0.19,-0.7,-0.89
"412",1959-04-30,4.12,4.12,4.03,3.72,0.14,3.98,3.98,3.89,3.58,1.38,2.22,1.38,2.22,1.29,2.13,0.98,1.82
"424",1960-04-30,4.28,4.29,4.27,4.04,1.91,2.37,2.38,2.36,2.13,2.03,2.38,2.04,2.39,2.02,2.37,1.79,2.14
"436",1961-04-30,3.78,3.57,3.33,2.88,0.91,2.87,2.66,2.42,1.97,1.4,2.08,1.19,1.87,0.95,1.63,0.5,1.18
"448",1962-04-30,3.84,3.6,3.38,2.99,1.33,2.51,2.27,2.05,1.66,1.63,2.21,1.39,1.97,1.17,1.75,0.78,1.36
"460",1963-04-30,3.97,3.74,3.5,3.11,0.89,3.08,2.85,2.61,2.22,1.75,2.49,1.52,2.26,1.28,2.02,0.89,1.63
"472",1964-04-30,4.23,4.15,4.15,3.91,1.53,2.7,2.62,2.62,2.38,2.19,2.74,2.11,2.66,2.11,2.66,1.87,2.42
"484",1965-04-30,4.2,4.15,4.12,4.04,1.38,2.82,2.77,2.74,2.66,2.17,2.73,2.12,2.68,2.09,2.65,2.01,2.57
"496",1966-04-30,4.75,4.83,4.89,4.9,2.83,1.92,2,2.06,2.07,2.98,3.01,3.06,3.09,3.12,3.15,3.13,3.16
"508",1967-04-30,4.59,4.51,4.38,4.11,2.51,2.08,2,1.87,1.6,2.71,2.7,2.63,2.62,2.5,2.49,2.23,2.22
"520",1968-04-30,5.64,5.69,5.75,5.71,3.85,1.79,1.84,1.9,1.86,3.9,3.35,3.95,3.4,4.01,3.46,3.97,3.42
"532",1969-04-30,6.17,6.3,6.25,6.26,5.38,0.79,0.92,0.87,0.88,4.29,3.27,4.42,3.4,4.37,3.35,4.38,3.36
"544",1970-04-30,7.39,7.5,7.39,7.06,5.88,1.51,1.62,1.51,1.18,4.92,3.89,5.03,4,4.92,3.89,4.59,3.56
"556",1971-04-30,5.83,5.65,5.22,4.3,4.07,1.76,1.58,1.15,0.23,3.22,2.22,3.04,2.04,2.61,1.61,1.69,0.69
"568",1972-04-30,6.19,6.17,5.88,4.96,3.43,2.76,2.74,2.45,1.53,3.57,2.61,3.55,2.59,3.26,2.3,2.34,1.38
"580",1973-04-30,6.67,6.67,6.78,6.85,5.17,1.5,1.5,1.61,1.68,3.77,2.77,3.77,2.77,3.88,2.88,3.95,2.95
"592",1974-04-30,7.51,7.92,8.05,8.62,9.59,-2.08,-1.67,-1.54,-0.970000000000001,3.03,2.48,3.44,2.89,3.57,3.02,4.14,3.59
"604",1975-04-30,8.23,7.99,7.76,6.9,9.7,-1.47,-1.71,-1.94,-2.8,2.24,2.26,2,2.02,1.77,1.79,0.91,0.93
"616",1976-04-30,7.56,7.25,6.84,5.92,5.68,1.88,1.57,1.16,0.24,3.25,1.65,2.94,1.34,2.53,0.93,1.61,0.01
"628",1977-04-30,7.37,6.79,6.31,5.44,6.72,0.65,0.0700000000000003,-0.41,-1.28,2.47,1.3,1.89,0.72,1.41,0.24,0.54,-0.63
"640",1978-04-30,8.15,7.98,7.85,7.45,6.3,1.85,1.68,1.55,1.15,3.33,2.03,3.16,1.86,3.03,1.73,2.63,1.33
"652",1979-04-30,9.18,9.25,9.43,10.12,9.97,-0.790000000000001,-0.720000000000001,-0.540000000000001,0.149999999999999,2.2,2.29,2.27,2.36,2.45,2.54,3.14,3.23
"664",1980-04-30,11.47,11.84,12.02,13.3,13.62,-2.15,-1.78,-1.6,-0.319999999999999,1.19,3.24,1.56,3.61,1.74,3.79,3.02,5.07
"676",1981-04-30,13.68,13.99,14.09,14.32,9.65,4.03,4.34,4.44,4.67,6,5.16,6.31,5.47,6.41,5.57,6.64,5.8
"688",1982-04-30,13.87,14,14.18,13.98,6.41,7.46,7.59,7.77,7.57,8.25,5.77,8.38,5.9,8.56,6.08,8.36,5.88
"700",1983-04-30,10.4,10.02,9.76,8.98,3.92,6.48,6.1,5.84,5.06,6.32,3.14,5.94,2.76,5.68,2.5,4.9,1.72
"712",1984-04-30,12.63,12.37,11.98,10.9,4.45,8.18,7.92,7.53,6.45,8.23,5.93,7.97,5.67,7.58,5.28,6.5,4.2
"724",1985-04-30,11.43,11.01,10.49,9.14,3.52,7.91,7.49,6.97,5.62,7.6,5.37,7.18,4.95,6.66,4.43,5.31,3.08
"736",1986-04-30,7.3,7.05,6.86,6.44,1.58,5.72,5.47,5.28,4.86,4.68,2.13,4.43,1.88,4.24,1.69,3.82,1.27
"748",1987-04-30,8.02,7.57,7.32,6.5,3.61,4.41,3.96,3.71,2.89,4.17,3.16,3.72,2.71,3.47,2.46,2.65,1.64
"760",1988-04-30,8.72,8.19,7.83,7.01,3.92,4.8,4.27,3.91,3.09,4.68,4.05,4.15,3.52,3.79,3.16,2.97,2.34
"772",1989-04-30,9.18,9.3,9.4,9.36,4.91,4.27,4.39,4.49,4.45,4.54,4.46,4.66,4.58,4.76,4.68,4.72,4.64
"784",1990-04-30,8.79,8.77,8.78,8.4,4.6,4.19,4.17,4.18,3.8,4.33,4.1,4.31,4.08,4.32,4.09,3.94,3.71
"796",1991-04-30,8.04,7.7,7.23,6.24,4.7,3.34,3,2.53,1.54,3.52,3.35,3.18,3.01,2.71,2.54,1.72,1.55
"808",1992-04-30,7.48,6.78,5.93,4.3,3.13,4.35,3.65,2.8,1.17,3.92,3.1,3.22,2.4,2.37,1.55,0.74,-0.08
"820",1993-04-30,5.97,5.13,4.3,3.24,3.11,2.86,2.02,1.19,0.13,2.43,1.84,1.59,1,0.76,0.17,-0.3,-0.89
"832",1994-04-30,6.97,6.52,5.99,4.82,2.34,4.63,4.18,3.65,2.48,3.91,3.2,3.46,2.75,2.93,2.22,1.76,1.05
"844",1995-04-30,7.06,6.86,6.68,6.27,3.08,3.98,3.78,3.6,3.19,3.56,3.43,3.36,3.23,3.18,3.05,2.77,2.64
"856",1996-04-30,6.51,6.3,6.11,5.54,2.79,3.72,3.51,3.32,2.75,3.2,3.05,2.99,2.84,2.8,2.65,2.23,2.08
"868",1997-04-30,6.89,6.76,6.61,5.99,2.41,4.48,4.35,4.2,3.58,3.83,3.64,3.7,3.51,3.55,3.36,2.93,2.74
"880",1998-04-30,5.64,5.61,5.58,5.38,1.43,4.21,4.18,4.15,3.95,3.21,2.75,3.18,2.72,3.15,2.69,2.95,2.49
"892",1999-04-30,5.18,5.08,5.03,4.69,2.26,2.92,2.82,2.77,2.43,2.25,2.42,2.15,2.32,2.1,2.27,1.76,1.93
"904",2000-04-30,5.99,6.26,6.36,6.15,2.97,3.02,3.29,3.39,3.18,2.63,3.19,2.9,3.46,3,3.56,2.79,3.35
"916",2001-04-30,5.14,4.76,4.42,3.98,3.17,1.97,1.59,1.25,0.81,1.66,2.26,1.28,1.88,0.94,1.54,0.5,1.1
"928",2002-04-30,5.21,4.65,4.01,2.48,1.63,3.58,3.02,2.38,0.85,2.7,2.58,2.14,2.02,1.5,1.38,-0.03,-0.15
"940",2003-04-30,3.96,2.93,2.06,1.27,2.15,1.81,0.78,-0.0899999999999999,-0.88,1.15,1.43,0.12,0.4,-0.75,-0.47,-1.54,-1.26
"952",2004-04-30,4.35,3.39,2.57,1.43,2.27,2.08,1.12,0.3,-0.84,1.47,1.87,0.51,0.91,-0.31,0.09,-1.45,-1.05
"964",2005-04-30,4.34,4,3.79,3.32,3.31,1.03,0.69,0.48,0.00999999999999979,0.82,1.69,0.48,1.35,0.27,1.14,-0.2,0.67
"976",2006-04-30,4.99,4.9,4.89,4.9,3.55,1.44,1.35,1.34,1.35,1.32,2.16,1.23,2.07,1.22,2.06,1.23,2.07
"988",2007-04-30,4.69,4.59,4.6,4.93,2.56,2.13,2.03,2.04,2.37,1.65,1.92,1.55,1.82,1.56,1.83,1.89,2.16
